title,records,taxa,org_country
Argyll Bird Club - Bird records for Argyll for the years 2002 and 2003,11867,99,GB
Distribution of planktonic foraminifera in sediment core MD95-2040,11843,22,DE
South East Wales Biodiversity Records Centre - CCW Regional Data : South East Wales Non-sensitive Species Records,11778,985,GB
UAIC Ichthyological Collection,11772,959,US
Zoological Museum Amsterdam, University of Amsterdam (NL) – Mollusca_Pectinoidea,11764,381,NL
BioGIS - Birds - INPA database,11702,68,IL
Collection Malakologie - SNSD,11620,2518,DE
Macquarie Island Fur Seal Database,11542,1,AU
Distribution of planktic foraminifers and SST of sediment core GIK15637-1,11495,28,DE
Collection Ichthyologie - SNSD,11482,1078,DE
Florabank1 - A grid-based database on vascular plant  distribution in the northern part of Belgium (Flanders and the Brussels Capital region),11482,25,BE
Natural England - Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by English Nature,11423,1009,GB
iziko South African Museum - Shark Collection (AfrOBIS),11393,486,
Algae (S),11391,1295,SE
UMZC Zoological Specimens,11277,4015,GB
Fungi (S),11268,1166,SE
Conchological Society of Great Britain &amp; Ireland - Mollusc (non-marine) data for Great Britain and Ireland,11194,24,GB
MVZ Bird Collection (Arctos),11102,334,US
UAM Bird Collection (Arctos),11048,249,US
Distribution of planktic foraminifers of core V22-174,11020,21,DE
VegetWeb - Repositorium von Vegetationsaufnahmen a,10883,7,DE
CAS Ornithology (ORN),10741,324,US
Oregon State Ichthyology Collection,10733,1782,US
Distribution of foraminifera of sediment core GIK23258-2,10720,8,DE
UAM Invertebrate Collection (Arctos),10698,1700,US
Molluscan specimen database of Kanagawa Prefectural Museum of Natural History,10634,2526,JP
CNPE/Coleccion Nacional de Peces,10608,1138,MX
Occurrences des observations de la campagne Suivi Aérien de la Mégafaune Marine en France métropolitaine (SAMM1 - Hiver 2011/2012),10395,39,FR
Collection Vermes - ZMB,10347,2781,DE
Aranzadi Ringing Scheme (bird ring-recovery data),10327,51,ES
Collection Mollusca SMF,10279,1502,DE
Distribution of benthic foraminifers, living, dead, and total assemblage counts, and faunal diversity in sediment samples collected between 1995 and 2010 in the San Francisco Bay coastal system,10185,35,DE
Planktic foraminifera (%) of sediment core MD97-2151,10182,20,DE
Planktic foraminifera counts of sediment core MD95-2040,10147,22,DE
Inventaire National du Patrimoine Naturel : Oiseaux nicheurs de France,10003,59,FR
Wikander,9914,293,NO
Shellfish specimens in the NISHINOMIYA SHELL MUSEUM, Japan.,9827,3394,JP
Planktic foraminifera distribution on sediment core GIK17957-2,9798,20,DE
Records of Avifauna of Wetlands around Keoladeo National Park, Bharatpur, India,9736,21,IN
Marine Invertebrata specimen database of Osaka Museum of Natutal History,9710,1655,JP
NCOS1959_Mollusca (OBIS China),9703,536,
Planktic foraminifera counts (census) of sediment core MD96-2084,9680,16,DE
(Table 1) Distribution of benthic and planktonic foraminifers at DSDP Hole 28-270,9654,83,DE
FlorKart - FlorenKartierung Gefaesspflanzen,9654,24,DE
Especímenes INBio,9640,1054,CR
Fish (NSMK-PI),9583,86,KR
Banc de dades de biodiversitat de Catalunya-VerteCat,9559,146,ES
Modern planktic foraminifera assemblage from surface sediment samples used as reference data set for the reconstruction of Atlantic sea surface temperatures during the last glacial maximum (LGM),9546,19,DE
Biological and palaeontological collection and observation data MNHNL,9531,803,LU
Museo Nacional de Ciencias Naturales, Madrid: Invertebrados Poliquetos,9517,920,ES
Shellfish (NSMK-MS),9505,73,KR
Naturalis Biodiversity Center (NL) - Paleontology Invertebrates,9462,1752,NL
Distribution of planktic foraminifera at the last glacial maximum,9422,28,DE
natagora-earlybirds,9420,22,BE
Zoological Museum Amsterdam, University of Amsterdam (NL) – Mollusca_Netherlands,9412,364,NL
RSPB - White-tailed eagle reintroduction in Scotland - Sightings data (RSPB/SNH),9396,1,GB
Mycology herbarium, Oslo (O),9291,474,NO
APIS - Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980's,9271,11,AU
International Fossil Shell Museum (NL) - Mollusca Collection,9245,3492,NL
